Trial,CurrentMemorySetSize,TimeBetweenShapes,ShapeDuration,TrialType,CurrentScore,MaxScore_Trial,MaxScore_Total,Shape_1_DraggedTo,Shape_1_Score,Shape_1_Placed,Shape_1_CorrectShape,Shape_1_CorrectPosition,Shape_1_CorrectColors,Shape_1_CorrectShapes,Shape_2_DraggedTo,Shape_2_Score,Shape_2_Placed,Shape_2_CorrectShape,Shape_2_CorrectPosition,Shape_2_CorrectColors,Shape_2_CorrectShapes,Shape_3_DraggedTo,Shape_3_Score,Shape_3_Placed,Shape_3_CorrectShape,Shape_3_CorrectPosition,Shape_3_CorrectColors,Shape_3_CorrectShapes,Shape_4_DraggedTo,Shape_4_Score,Shape_4_Placed,Shape_4_CorrectShape,Shape_4_CorrectPosition,Shape_4_CorrectColors,Shape_4_CorrectShapes,FinalScore,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,10,60,8,8,10,9,4,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
11,3,0.2,0.6,ExperimentalTrials,740,105,900,10,15,11,11,10,9,7,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,11,30,2,2,11,1,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,8,0,6,6,12,5,6,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
12,3,1.0,0.8,ExperimentalTrials,790,105,1005,6,15,7,7,6,5,7,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,4,30,2,2,4,1,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,14,5,14,12,14,13,4,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
13,3,0.6,0.7,ExperimentalTrials,810,105,1110,15,15,12,12,15,13,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,10,0,10,9,6,9,5,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,11,5,5,7,11,5,7,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
14,3,0.2,0.6,ExperimentalTrials,815,105,1215,2,5,10,9,2,9,5,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,6,0,1,3,11,1,7,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,11,0,14,12,7,13,4,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
15,4,1.0,1.0,ExperimentalTrials,920,225,1440,4,15,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,8,30,8,8,8,9,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,12,60,0,0,12,1,4,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,12,12,14,13,4,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
16,4,0.6,0.9,ExperimentalTrials,935,225,1665,12,15,7,7,12,5,7,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,10,0,11,11,6,9,7,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,6,0,15,15,2,13,7,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,3,3,5,1,7,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
17,4,0.2,0.8,ExperimentalTrials,960,225,1890,4,15,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,0,5,6,5,0,5,5,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,14,0,5,7,8,5,7,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,4,6,15,5,6,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
18,4,1.0,0.8,ExperimentalTrials,1065,225,2115,5,15,10,10,5,9,6,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,10,30,2,2,10,1,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,14,60,6,6,14,5,6,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,15,15,1,13,7,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
19,4,0.6,0.7,ExperimentalTrials,1170,225,2340,3,15,8,8,3,9,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,13,30,9,9,13,9,5,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,15,60,10,10,15,9,6,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,15,7,7,5,7,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
20,4,0.2,0.6,ExperimentalTrials,1190,225,2565,12,15,14,14,12,13,6,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,9,0,9,8,5,9,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,4,5,6,9,4,9,5,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,11,6,9,7,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
21,4,1.0,0.8,ExperimentalTrials,1240,225,2790,13,15,0,0,13,1,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,1,10,8,4,1,5,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,7,10,4,8,7,9,4,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,15,15,15,8,13,7,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
22,4,0.6,0.7,ExperimentalTrials,1285,225,3015,8,15,1,1,8,1,5,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,0,30,6,6,0,5,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,5,0,14,14,13,13,6,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,10,10,5,9,6,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
23,4,0.2,0.6,ExperimentalTrials,1300,225,3240,2,5,14,13,2,13,5,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,13,5,4,6,13,5,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,14,5,5,7,14,5,7,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,6,4,11,5,4,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
24,4,1.0,0.8,ExperimentalTrials,1340,225,3465,9,15,6,6,9,5,6,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,6,5,14,12,6,13,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,13,15,1,1,13,1,5,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,11,0,9,7,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
25,4,0.6,0.7,ExperimentalTrials,1340,225,3690,15,0,9,9,11,9,5,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,7,0,14,14,3,13,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,11,0,5,7,7,5,7,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,15,1,4,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
